PERFORMANCE BY SECURITY,,,,,,,,,,
Group : 109780        From  01/01/2025  To  31/03/2025   Client Associates,,,,,,,,,,
Security,Begin  MV,Inflow,Outflow,Profit,End  MV,Absolute Return,,Annualized Return,,Benchmark
,,,,,,Portfolio,Benchmark,Portfolio,Benchmark,
White Space Alpha Fund 2 B - DIR Sep 23,"1,15,45,212",0,0,"11,935","1,15,57,148",0.10%,2.13%,0.42%,9.03%,CRISIL ST BD
White Space Alpha Fund 2 B - DIR Sep 23,"2,30,90,425",0,0,"23,871","2,31,14,296",0.10%,2.13%,0.42%,9.03%,CRISIL ST BD
4,,,,,,,,,,
PRIVATE AND CONFIDENTIAL,,,,,,,,,,
Security,Begin  MV,Inflow,Outflow,Profit,End  MV,Absolute Return,,Annualized Return,,Benchmark
,,,,,,Portfolio,Benchmark,Portfolio,Benchmark,
White Space Alpha Fund 2 B - DIR Sep 23,"2,59,76,728",0,0,"26,855","2,60,03,583",0.10%,2.13%,0.42%,9.03%,CRISIL ST BD
White Space Alpha Fund 2-B DIR DEC 24,"51,54,189",0,0,"28,164","51,82,353",0.55%,2.13%,2.26%,9.03%,CRISIL ST BD
Total : Debt Alternative,"74,96,71,658","5,23,23,718","1,57,23,796","1,08,69,117","79,71,40,697",1.42%,2.14%,5.97%,9.08%,CRISIL ST BD
Total : Debt,"1,21,75,53,909","5,23,23,718","32,13,59,534","1,82,16,450","96,67,34,543",1.62%,2.08%,6.83%,8.82%,CRISIL ST BD
Hybrid,,,,,,,,,,
Balanced Advantage,,,,,,,,,,
Edelweiss Balanced Advantage Direct-G,"11,58,75,220",0,0,"-17,70,200","11,41,05,020",-1.53%,-2.38%,-6.12%,-9.42%,Balanced Advantage Category Average
ICICI Pru Balanced Advantage Direct-G,"19,35,70,441",0,0,"8,05,285","19,43,75,727",0.42%,-2.38%,1.72%,-9.42%,Balanced Advantage Category Average
Kotak Balanced Advantage Direct-G,"7,40,75,300",0,"8,23,389","-15,29,012","7,17,22,899",-2.07%,-2.42%,-8.22%,-9.58%,Balanced Advantage Category Average
Total : Balanced Advantage,"38,35,20,962",0,"8,23,389","-24,93,927","38,02,03,646",-0.65%,-2.39%,-2.64%,-9.45%,Balanced Advantage Category Average
Hybrid Alternative,,,,,,,,,,
Whitespace Alpha Hybrid Plus-A-DIR Jul 24,"8,18,56,017",0,0,"-27,94,556","7,90,61,462",-3.41%,-2.38%,-13.28%,-9.42%,Balanced Advantage Category Average
Whitespace Alpha Hybrid Plus-A-DIR Jul 24,"8,18,56,017",0,0,"-27,94,556","7,90,61,462",-3.41%,-2.38%,-13.28%,-9.42%,Balanced Advantage Category Average
Total : Hybrid Alternative,"16,37,12,035",0,0,"-55,89,111","15,81,22,923",-3.41%,-2.38%,-13.28%,-9.42%,Balanced Advantage Category Average
Total : Hybrid,"54,72,32,997",0,"8,23,389","-80,83,038","53,83,26,569",-1.48%,-2.39%,-5.92%,-9.44%,Balanced Advantage Category Average
Alternative,,,,,,,,,,
PE / VC,,,,,,,,,,
